2026-01-01,USR_0028,Standard,$14.99
2026-01-03,USR_0036,Basic,$9.99
2026-01-03,USR_0042,Basic,$9.99
2026-01-05,USR_0002,Enterprise,$49.99
2026-01-05,USR_0036,Enterprise,$49.99
2026-01-05,USR_0012,Enterprise,$49.99
2026-01-05,USR_0033,Premium,$19.99
2026-01-06,USR_0003,Enterprise,$49.99
2026-01-06,USR_0011,Basic,$9.99
2026-01-06,USR_0003,Standard,$14.99
2026-01-09,USR_0017,Premium,$19.99
2026-01-11,USR_0022,Enterprise,$49.99
2026-01-13,USR_0027,Premium,$19.99
2026-01-14,USR_0003,Standard,$14.99
2026-01-14,USR_0006,Standard,$14.99
2026-01-16,USR_0010,Premium,$19.99
2026-01-16,USR_0036,Basic,$9.99
2026-01-16,USR_0022,Basic,$9.99
2026-01-17,USR_0028,Premium,$19.99
2026-01-17,USR_0009,Basic,$9.99
2026-01-19,USR_0033,Basic,$9.99
2026-01-19,USR_0028,Enterprise,$49.99
2026-01-21,USR_0033,Standard,$14.99
2026-01-26,USR_0011,Enterprise,$49.99
2026-01-27,USR_0031,Enterprise,$49.99
2026-01-28,USR_0028,Standard,$14.99
2026-01-28,USR_0012,Enterprise,$49.99
2026-01-28,USR_0009,Enterprise,$49.99
2026-01-29,USR_0040,Basic,$9.99
2026-01-30,USR_0014,Standard,$14.99
2026-01-31,USR_0036,Basic,$9.99
2026-02-02,USR_0031,Basic,$9.99
2026-02-02,USR_0041,Premium,$19.99
2026-02-03,USR_0009,Enterprise,$49.99
2026-02-03,USR_0020,Premium,$19.99
2026-02-05,USR_0008,Basic,$9.99
2026-02-06,USR_0022,Standard,$14.99
2026-02-06,USR_0016,Enterprise,$49.99
2026-02-07,USR_0021,Standard,$14.99
2026-02-07,USR_0018,Premium,$19.99
2026-02-07,USR_0011,Basic,$9.99
2026-02-07,USR_0028,Premium,$19.99
2026-02-08,USR_0033,Enterprise,$49.99
2026-02-09,USR_0025,Standard,$14.99
